dataset_index	problem_index	ProductionRequirements	MachineSetting
D1	1	"J_20,D_30,C_20,F_20,A_10,H_30,I_10"	"DARES01_A_DA1,DARES02_A_DA1,DARES03_A_DA1,DARES04_A_DA1,DARES05_A_DA1,DARES06_A_DA1,DARES07_A_DA1,DARES08_A_DA1,DARES09_C_DA1,DARES10_D_DA3,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_A_WB1,WBRES05_A_WB1,WBRES06_A_WB1,WBRES07_C_WB1,WBRES08_C_WB1,WBRES09_C_WB1,WBRES10_C_WB1,WBRES11_C_WB1,WBRES12_C_WB2,WBRES13_C_WB2,WBRES14_C_WB2,WBRES15_C_WB2,WBRES16_C_WB2,WBRES17_D_WB1,WBRES18_D_WB2,WBRES19_D_WB2,WBRES20_D_WB2,WBRES21_D_WB2,WBRES22_D_WB2,WBRES23_D_WB2,WBRES24_D_WB3,WBRES25_D_WB3"
D1	2	"C_20,D_32,A_9,H_30,I_10,J_20,F_20"	"DARES01_C_DA2,DARES02_D_DA2,DARES03_D_DA2,DARES04_F_DA1,DARES05_F_DA2,DARES06_F_DA3,DARES07_H_DA1,DARES08_I_DA1,DARES09_I_DA1,DARES10_J_DA1,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_C_WB1,WBRES05_D_WB1,WBRES06_D_WB1,WBRES07_D_WB2,WBRES08_D_WB2,WBRES09_D_WB2,WBRES10_D_WB3,WBRES11_F_WB2,WBRES12_F_WB2,WBRES13_F_WB2,WBRES14_F_WB2,WBRES15_F_WB3,WBRES16_F_WB3,WBRES17_H_WB3,WBRES18_H_WB3,WBRES19_H_WB3,WBRES20_I_WB2,WBRES21_J_WB1,WBRES22_J_WB1,WBRES23_J_WB1,WBRES24_J_WB2,WBRES25_J_WB2"
D1	3	"C_19,D_27,A_9,H_28,I_10,J_19,F_21"	"DARES01_C_DA1,DARES02_C_DA1,DARES03_D_DA1,DARES04_D_DA3,DARES05_F_DA2,DARES06_I_DA2,DARES07_I_DA2,DARES08_I_DA2,DARES09_I_DA2,DARES10_J_DA1,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_C_WB1,WBRES05_C_WB1,WBRES06_C_WB2,WBRES07_C_WB2,WBRES08_C_WB2,WBRES09_D_WB3,WBRES10_D_WB3,WBRES11_D_WB3,WBRES12_F_WB2,WBRES13_F_WB2,WBRES14_F_WB2,WBRES15_F_WB2,WBRES16_F_WB3,WBRES17_F_WB3,WBRES18_F_WB3,WBRES19_I_WB2,WBRES20_I_WB2,WBRES21_I_WB2,WBRES22_I_WB2,WBRES23_J_WB1,WBRES24_J_WB1,WBRES25_J_WB1"
D1	4	"C_21,D_30,A_9,H_28,I_10,J_18,F_19"	"DARES01_A_DA1,DARES02_D_DA1,DARES03_D_DA3,DARES04_D_DA3,DARES05_D_DA3,DARES06_F_DA1,DARES07_H_DA1,DARES08_H_DA2,DARES09_I_DA1,DARES10_I_DA2,WBRES01_A_WB1,WBRES02_C_WB2,WBRES03_C_WB2,WBRES04_C_WB2,WBRES05_C_WB2,WBRES06_D_WB1,WBRES07_D_WB1,WBRES08_D_WB1,WBRES09_D_WB1,WBRES10_D_WB1,WBRES11_D_WB1,WBRES12_D_WB3,WBRES13_D_WB3,WBRES14_D_WB3,WBRES15_D_WB3,WBRES16_F_WB2,WBRES17_F_WB3,WBRES18_F_WB3,WBRES19_F_WB3,WBRES20_F_WB3,WBRES21_F_WB3,WBRES22_F_WB3,WBRES23_J_WB1,WBRES24_J_WB2,WBRES25_J_WB2"
D1	5	"C_21,D_32,A_10,H_31,I_9,J_18,F_19"	"DARES01_C_DA2,DARES02_D_DA2,DARES03_F_DA1,DARES04_F_DA1,DARES05_F_DA1,DARES06_F_DA3,DARES07_H_DA3,DARES08_I_DA1,DARES09_I_DA1,DARES10_J_DA1,WBRES01_A_WB1,WBRES02_C_WB1,WBRES03_C_WB1,WBRES04_C_WB2,WBRES05_D_WB1,WBRES06_D_WB1,WBRES07_D_WB1,WBRES08_D_WB2,WBRES09_D_WB2,WBRES10_D_WB3,WBRES11_D_WB3,WBRES12_D_WB3,WBRES13_F_WB2,WBRES14_F_WB2,WBRES15_F_WB2,WBRES16_F_WB2,WBRES17_F_WB3,WBRES18_F_WB3,WBRES19_F_WB3,WBRES20_F_WB3,WBRES21_F_WB3,WBRES22_H_WB3,WBRES23_J_WB1,WBRES24_J_WB1,WBRES25_J_WB2"
D1	6	"C_18,D_27,A_9,H_28,I_10,J_19,F_19"	"DARES01_A_DA1,DARES02_D_DA2,DARES03_D_DA3,DARES04_F_DA1,DARES05_H_DA1,DARES06_H_DA2,DARES07_H_DA3,DARES08_I_DA2,DARES09_I_DA2,DARES10_J_DA1,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_C_WB1,WBRES04_C_WB1,WBRES05_C_WB1,WBRES06_C_WB1,WBRES07_C_WB2,WBRES08_C_WB2,WBRES09_C_WB2,WBRES10_C_WB2,WBRES11_C_WB2,WBRES12_D_WB1,WBRES13_D_WB1,WBRES14_D_WB3,WBRES15_D_WB3,WBRES16_F_WB2,WBRES17_F_WB2,WBRES18_F_WB2,WBRES19_F_WB3,WBRES20_F_WB3,WBRES21_H_WB3,WBRES22_I_WB2,WBRES23_I_WB2,WBRES24_I_WB2,WBRES25_J_WB2"
D1	7	"C_21,D_32,A_9,H_30,I_10,J_19,F_21"	"DARES01_A_DA1,DARES02_A_DA1,DARES03_C_DA2,DARES04_D_DA1,DARES05_F_DA1,DARES06_F_DA2,DARES07_F_DA3,DARES08_H_DA2,DARES09_I_DA1,DARES10_J_DA2,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_C_WB1,WBRES05_C_WB1,WBRES06_C_WB2,WBRES07_C_WB2,WBRES08_C_WB2,WBRES09_C_WB2,WBRES10_D_WB1,WBRES11_D_WB1,WBRES12_D_WB1,WBRES13_D_WB2,WBRES14_D_WB2,WBRES15_D_WB3,WBRES16_D_WB3,WBRES17_F_WB2,WBRES18_F_WB2,WBRES19_F_WB3,WBRES20_F_WB3,WBRES21_F_WB3,WBRES22_F_WB3,WBRES23_I_WB2,WBRES24_I_WB2,WBRES25_J_WB2"
D1	8	"C_19,D_27,A_10,H_28,I_10,J_18,F_21"	"DARES01_A_DA1,DARES02_C_DA1,DARES03_C_DA2,DARES04_D_DA1,DARES05_D_DA1,DARES06_F_DA3,DARES07_F_DA3,DARES08_H_DA3,DARES09_I_DA1,DARES10_I_DA1,WBRES01_C_WB1,WBRES02_C_WB2,WBRES03_C_WB2,WBRES04_C_WB2,WBRES05_D_WB1,WBRES06_D_WB1,WBRES07_D_WB2,WBRES08_D_WB2,WBRES09_D_WB2,WBRES10_D_WB3,WBRES11_D_WB3,WBRES12_F_WB2,WBRES13_F_WB2,WBRES14_F_WB2,WBRES15_F_WB3,WBRES16_F_WB3,WBRES17_H_WB3,WBRES18_H_WB3,WBRES19_H_WB3,WBRES20_I_WB2,WBRES21_I_WB2,WBRES22_I_WB2,WBRES23_I_WB2,WBRES24_J_WB1,WBRES25_J_WB1"
D1	9	"C_21,D_30,A_9,H_29,I_9,J_19,F_20"	"DARES01_A_DA1,DARES02_A_DA1,DARES03_D_DA1,DARES04_D_DA3,DARES05_F_DA1,DARES06_F_DA3,DARES07_H_DA1,DARES08_H_DA2,DARES09_I_DA1,DARES10_J_DA2,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_C_WB1,WBRES05_D_WB1,WBRES06_D_WB1,WBRES07_D_WB3,WBRES08_D_WB3,WBRES09_F_WB2,WBRES10_F_WB2,WBRES11_F_WB2,WBRES12_F_WB2,WBRES13_F_WB2,WBRES14_F_WB2,WBRES15_F_WB2,WBRES16_F_WB3,WBRES17_F_WB3,WBRES18_F_WB3,WBRES19_F_WB3,WBRES20_H_WB3,WBRES21_J_WB1,WBRES22_J_WB2,WBRES23_J_WB2,WBRES24_J_WB2,WBRES25_J_WB2"
D1	10	"C_20,D_32,A_9,H_30,I_10,J_21,F_19"	"DARES01_C_DA1,DARES02_C_DA2,DARES03_C_DA2,DARES04_D_DA1,DARES05_D_DA3,DARES06_F_DA2,DARES07_I_DA1,DARES08_I_DA2,DARES09_I_DA2,DARES10_J_DA1,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_C_WB1,WBRES05_C_WB1,WBRES06_C_WB1,WBRES07_C_WB1,WBRES08_C_WB1,WBRES09_C_WB2,WBRES10_C_WB2,WBRES11_C_WB2,WBRES12_C_WB2,WBRES13_C_WB2,WBRES14_C_WB2,WBRES15_D_WB1,WBRES16_F_WB3,WBRES17_F_WB3,WBRES18_H_WB3,WBRES19_I_WB2,WBRES20_J_WB1,WBRES21_J_WB1,WBRES22_J_WB1,WBRES23_J_WB1,WBRES24_J_WB1,WBRES25_J_WB1"
